,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
200,ES1048A,ES1048A-AVENIDA DE NAVARRA,41.655556,0.900000,ZARAGOZA,ES
201,ES1049A,ES1049A-PARANINFO,41.648335,-0.883894,ZARAGOZA,ES
202,ES1050A,ES1050A-ALCORCÓN,40.351944,-3.821944,ALCORCÓN,ES
203,ES1051A,ES1051A-COSLADA,40.428612,-3.551944,COSLADA,ES
204,ES1054A,ES1054A-TORREJON DE ARDOZ,40.456112,-3.483069,TORREJÓN DE ARDOZ,ES
205,ES1067A,ES1067A-PALOS,37.219250,-6.888581,PALOS DE LA FRONTERA,ES
206,ES1071A,ES1071A-ALGECIRAS,36.135002,-5.450561,ALGECIRAS,ES
207,ES1072A,ES1072A-LA LÍNEA,36.159369,-5.348361,LÍNEA DE LA CONCEPCIÓN (LA),ES
208,ES1074A,ES1074A-HOSTELERÍA,36.203881,-5.383711,SAN ROQUE,ES
209,ES1076A,ES1076A-CORTIJILLOS,36.190481,-5.435761,BARRIOS (LOS),ES
210,ES1079A,ES1079A-PLAZA CASTILLA,37.994167,-1.140283,MURCIA,ES
211,ES1084A,ES1084A-E2-MOLLET DEL VALLES,41.535557,2.211400,MOLLET DEL VALLÈS,ES
212,ES1086A,ES1086A-E6-GRANOLLERS,41.616665,2.292231,GRANOLLERS,ES
213,ES1090A,ES1090A-JAIME FERRÁN,41.674167,-0.864181,ZARAGOZA,ES
214,ES1093A,ES1093A-TORRE METEOROLÓGICA I,39.791389,3.075278,ALCÚDIA,ES
215,ES1094A,ES1094A-SAN LUIS,39.878056,4.259722,MAHÓN,ES
216,ES1095A,ES1095A-POZOS,39.892222,4.253889,MAHÓN,ES
217,ES1096A,ES1096A-GOMEZ FRANQUEIRA,42.351944,-7.876944,OURENSE,ES
218,ES1117A,ES1117A-A4-VILA-SECA,41.113333,1.069167,VILA-SECA,ES
219,ES1119A,ES1119A-A6-TARRAGONA (NUCLI URBA),41.122498,1.242222,TARRAGONA,ES
220,ES1120A,ES1120A-A7-BONAVISTA,41.117500,1.193611,TARRAGONA,ES
221,ES1121A,ES1121A-A2-POBLA DE MAFUMET,41.189724,1.211400,POBLA DE MAFUMET (LA),ES
222,ES1122A,ES1122A-A1-PERAFORT,41.194722,1.238056,PERAFORT,ES
223,ES1123A,ES1123A-A3-CONSTANTÍ,41.156111,1.218889,CONSTANTÍ,ES
224,ES1124A,ES1124A-A5-TARRAGONA (ST. SALVADOR),41.160556,1.241111,TARRAGONA,ES
225,ES1125A,ES1125A-A8-MANRESA,41.731944,1.826111,MANRESA,ES
226,ES1126A,ES1126A-A9-MARTORELL,41.476944,1.922778,MARTORELL,ES
227,ES1129A,ES1129A-CHIPRANA,41.258889,-0.151667,CHIPRANA,ES
228,ES1130A,ES1130A-ESCATRÓN,41.288333,-0.326667,ESCATRÓN,ES
229,ES1131A,ES1131A-TOME CANO,28.463611,-16.260833,SANTA CRUZ DE TENERIFE,ES
230,ES1132A,ES1132A-LOS GLADIOLOS,28.459722,-16.266944,SANTA CRUZ DE TENERIFE,ES
231,ES1133A,ES1133A-IGUESTE DE CANDELARIA,28.383056,-16.374167,CANDELARIA,ES
232,ES1134A,ES1134A-TORRECIEGA,37.616108,-0.968333,CARTAGENA,ES
233,ES1135A,ES1135A-AA-IGUALADA,41.578889,1.627778,IGUALADA,ES
234,ES1136A,ES1136A-A CORUÑA,43.021946,-7.563903,LUGO,ES
235,ES1137A,ES1137A-ARENAL,42.219167,-8.741944,VIGO,ES
236,ES1138A,ES1138A-CORLAB 1,43.367778,-8.418889,CORUÑA (A),ES
237,ES1139A,ES1139A-MESA Y LÓPEZ,28.133333,-15.432792,PALMAS DE GRAN CANARIA (LAS),ES
238,ES1148A,ES1148A-I4-SANT ADRIÀ DE BESÒS,41.433333,2.220000,SANT ADRIÀ DE BESÒS,ES
239,ES1160A,ES1160A-BURGOS 1,42.353611,-3.674167,BURGOS,ES
240,ES1161A,ES1161A-BARRIO PINILLA,42.603889,-5.587222,LEÓN,ES
241,ES1162A,ES1162A-MEDINA DEL CAMPO,41.316389,-4.909167,MEDINA DEL CAMPO,ES
242,ES1163A,ES1163A-MIRANDA DE EBRO 1,42.684444,-2.917500,MIRANDA DE EBRO,ES
243,ES1164A,ES1164A-VENTA DE BAÑOS,41.922779,-4.493889,VENTA DE BAÑOS,ES
244,ES1165A,ES1165A-ESCOMBRERAS,37.564167,-0.959444,CARTAGENA,ES
245,ES1167A,ES1167A-LA ASOMADA,37.631664,-0.969444,CARTAGENA,ES
246,ES1168A,ES1168A-SANTA ANA,37.655834,-1.016667,CARTAGENA,ES
247,ES1169A,ES1169A-CARTEYA (S9),36.208789,-5.391381,SAN ROQUE,ES
248,ES1171A,ES1171A-ARAGÓN,39.475555,-0.352222,VALENCIA,ES
249,ES1172A,ES1172A-LINARES,39.463333,-0.391944,VALENCIA,ES
250,ES1173A,ES1173A-VILANOVA (G-2),43.554444,-8.028611,SAN SADURNIÑO,ES
251,ES1175A,ES1175A-SUR,42.715279,-7.449444,OUROL,ES
252,ES1176A,ES1176A-ROSALEDA,38.703888,-0.475842,ALCOY/ALCOI,ES
253,ES1177A,ES1177A-OLIVER,38.695278,-0.476111,ALCOY/ALCOI,ES
254,ES1178A,ES1178A-ESTACIÓN RENFE,38.341667,-0.493333,ALICANTE/ALACANT,ES
